,id,category,data
11,11,商业/理财-股票,老师好青青稞酒明天再跌就可以建仓了吗谢谢青青稞酒散户在不断地卖出主力资金却在周三悄悄地吃便宜货该股处于上市以来的最低迷状态这一点从成交量就可以看得清清楚楚但是现在也许并不是你介入的最佳时机因为从形态看散户还会有更便宜的筹码在以后卖出而主力资金至今收集的筹码也不足以使其达到建完仓的地步因此建议你再等等这只股票将来看好是不言而喻的对于短线操作来说介入的标志是放量对于中长线来说还要看大趋势
44,44,商业/理财-基金,华夏公司网上交易使用的广发卡是广发理财通卡吗如题广发理财通卡是广发理财通卡华夏公司网上交易也能使用
65,65,商业/理财-基金,我就贷款买基金了今年贷款买了好多的基金啊收益还多从八月到俺也贷了不过还没到手真是麻烦不过我贷的不多万年利息超过的就是俺赚的了相信一年赚个不是太难这年头赚钱真辛苦哦想尽办法
67,67,商业/理财-股票,同花顺标准版和同花顺盛大密宝有什么区别同花顺里有同花顺同花顺标准版和同花顺盛大密宝两个分析软件好像都是免费的我下载后感觉一样比标准版大
75,75,商业/理财-基金,这两天嘉实和南方稳健都要大比例分红了分完净值都在左右了嘉实是指数型基金追踪沪深指数你要是看好后市看好中国的经济买它是个不错的选择
80,80,商业/理财-财务税务,有关专利发明奖金是否要缴纳个人所得税哪位大仙知道公司对职务发明职务发明的属于工资薪金所得非职务发明的属于偶然所得因为职务发明的公司有使用权非职务发明的公司没有使用权
94,94,商业/理财-基金,关于基金啥叫前端申购代码后端申购代码有啥区别有甚么作用基金代码不一样但是是一个基金的两种收费方式前端就是买的时候收申购费赎的时候收赎回费费率固定后端就是买时不收费赎的时候申赎费一起收持有时间越长费率越低
123,123,商业/理财-股票,清泉老师好怎么办谢谢持有
145,145,商业/理财-财务税务,请问在网上地税申报中在做综合申报表时实际缴纳税额已抵缴实际缴纳的税额只本月销项减去抵扣的进项税额已缴扣税额指已经缴纳或者扣缴义务人已经扣缴的税款销售收入额是不含税的收入价税合计才是含税收入我要补充问题如进项大于销项即是税就不用交城建税教育费如果你本月抵扣的进项大于本月的销项就不交增值税城建税教育税教育税附加
149,149,商业/理财-基金,哪支基金与广发聚富的相关性小呢我已买了广发聚富和南方稳健号上投阿尔法华夏大盘嘉实增长这几只基金投资风格各异投资策略各不相同但业绩表现都比较好
180,180,商业/理财-创业投资,年做什么生意好呢年不想给人家打工了想自己做点年做什么生意好呢投资哪个行业都能赚钱就看有没有那个魄力了想要赚钱的话你可以考虑新兴行业比如现在动漫店项目很受创业者们青睐动漫产品现在深受人们喜爱在市场上供不应求选择开家这样的动漫店挺不错的项目
228,228,商业/理财-银行业务,请银行的朋友帮个忙啊回答个问题好急谢谢了朋友去年在贵州存钱开银行卡消磁确实很麻烦一定是要到开户银行网点才可以办理象你这样在外地的情况我也碰到过还好有存折留在家里叫朋友拿了去取了出来在汇到我的另一张卡上若无法这样的话就去当地银行询问看是否可以填写一张委托授权材料叫你朋友代办即使代办好的话你也拿不到卡还是要等到你朋友拿到新卡才取的出钱然后在汇到你新办的卡确实是很麻烦下次一定要注意不要磨损银行卡或和手机等一些会产生磁场的东西放在一起
234,234,商业/理财-股票,寻一直中线医药股请高手推荐一支医药股拿到今年底的谢谢你好建议关注中新药业该股业绩增长明显基本面好盘子中偏小未遭恶炒该股重组预期明确近期进入上升通道仅供参考
247,247,商业/理财-股票,清泉老师怎么操作明天卖掉吗股价破日线离场
302,302,商业/理财-外汇,预备队看你们啦今晨本指挥官在大战前做出了一个决定部队统统短期暂时观望等待机会
310,310,商业/理财-产业信息,天津松江在东疆保税区的高尔夫项目有多大天津盘山高尔夫球场明年五月开业和天津松江团泊湖高尔夫球会是一个开发商具体像是在毛家峪就是在蓟县和北京交界处电话我也不知道明年开场可以给你问问希望能帮到你麻烦在我回答的下面点击好评谢谢你啦
318,318,商业/理财-银行业务,深圳的建设银行房贷供多久提前还货深圳的建设银行房贷供多久可以申可以提前还贷不过要与银行商量不存在不良记录直接去办理好了
324,324,商业/理财-个人理财,误工费问题我车压到别人的脚了伤者没有住院我需要伤者提供哪些该伤者单位出据的月工资收入证明如工资表需加盖该单位公章该伤者需到当地医院做检查由医院出据伤情诊断报告否则保险公司怎么相信你不是在骗保
334,334,商业/理财-银行业务,我想办一张能透支的银行卡哪个银行的好有什么要求还有哪个银行办张贷记卡吧消费透支在一定时期内不用付费工行的如果你没有什么固定单位定期存单质押也可以办卡他还可以选择消费时密码用或不用也可选择多少金额才开始用很好的
353,353,商业/理财-基金,牛牛在此给各位朋友们拜年了祝愿一元复始万象更新年年如意岁岁平安财源广进富贵吉祥幸福安康庆有余竹抱平安福满门喜气洋洋新年快乐
362,362,商业/理财-财务税务,车间管理人员工资为什么要记入制造费用账户为什么不是生产成本制造费用是指企业为生产产品和提供劳务而发生的各项间接费用由于车间人员不是直接从事生产的工人属于生产的管理人员所以车间管理人员的工资要计入制造费用科目
370,370,商业/理财-基金,最保险的基金最近打算做点小投资银行的工作人员推荐买基金定理财是每个人的必修课不过平时您是自觉不自觉地在做如何赚钱如何花钱怎样才能做得更好呢需要不断学习不断从实战中总结风险是无处不在的走路坐车没有风险吗被车碰等躺在家里没有风险吗地震等只是概率非常低所以重要的是认识风险把风险控制在可以承受的范围比如您买元华夏红利元基金兴华元债券基金当做学习试验然后不断总结经验您说即使全亏能有多大风险我特别不赞成买了就放着不闻不问了怎么学习怎么进步请教这个世界上有什么东西会不变化呢天行健君子当自强不息永远渴求变革才是控制风险的最好办法变则通通则恒请参考
372,372,商业/理财-外汇,美元下跌底线美元下跌的底线会是多少大概还会有机会大幅度的反弹么反弹机会还有但是需要多天的下跌
385,385,商业/理财-贸易,请解释复进口复出口复出口复出口是指外国商口进口以后未经加工制造又出口也称再出口复出口在很大程度上同经营转口贸易有关复进口复进口是指本国商品输往国外未经加工又输入国内也称再进口复进口多因偶然原因如出口退货所造成
