,id,category,data
43,43,烦恼-校园生活,九年级相似图形在梯形中是上的一点设则所以
52,52,烦恼-情感情绪,怎样才能使自己的内心强大起来一要学会独处就是常说的慎独但慎独不是说忍受孤独而是在孤身一人的时候在下班放学后还能有计划的安排自己所获一个人的成功是看每天工作的八小时之外的时间是怎么利用的二要学会放松深入点说就是乐观乐观到遇到什么都可以临危不惧临阵不乱依然能保持自己原有的风度和幽默当然这不是乐观的目的乐观的目的是让自己能够用平和的心态和敏捷的思维来思考问题解决问题或者研究部署规划理清思路三要会自我暗示中自我暗示是一个人勇气和毅力的根本来源一个自我暗示的人是会自我积蓄力量的能够接受非人考验的并且要是个想着记者自己的目标和期望所以学会自我暗示自己必须有一个明确的目标和做人的原则四精神独立也就是说不会受到任何外界的轻易干扰和拥有不会依赖外界而能够生存的思想这首先就要树立一个正确的世界观人生观和价值观这是一个人生命轨迹的主线所有的人都是在这个思想指导下去完成自己的思想性格行为的当然最后的生活方式和结局也不同五摆脱依赖和懒惰思想人只有不依赖了才会对自己的行为负责只有对自己行为能够负担起责任才不会抱怨所以反推回来就是你产生抱怨就是因为你不愿意为自己的行为负责而去想方设法的找客观因素去抱怨而不想为自己行为负责的原因就是你想依赖别人而解决你的问题而当你依赖的一方不能按照你的想法实现的时候你自然就会产生抱怨因为你把希望寄托到了别人身上可是你又没有控制别人的能力非常勿扰中经常说的需要内心强大你做到了吗我觉得非常勿扰这个舞台却是是检验内心是否强大的一个舞台面对位女生面对位名人还有全国观众你是不是能够撑起整个场用放松的幽默的智慧的敏捷的语言来表达自己的观点描述自己的愿景不为任何人改变不因任何因素而受阻电脑前面的你可以吗
53,53,烦恼-恋爱,他这样是爱我吗我们是经人介绍认识认识到现在已经有三个月了自已经三个月了你也可以适当的主动约他这是很正常的我不能肯定他是否爱你但可以肯定他是希望和你交往下去的要不不会在你没空出去的时候买东西给你吃至于话题我想是需要共同寻找的多了解一些就会多些共同语言要幸福是要自己付出努力的就从打个电话给他开始吧
64,64,烦恼-恋爱,我好心疼哦我听说喜欢的人已经有心上人了我好心疼哦你们可其实是你们肥皂剧看得太少了一般里面如果主线是女的先爱上男的虽然历尽千辛万苦不过最后争取到的结果都是幸福得不得了想想难道不是吗我们男生是喜欢美女的越是女神越是发疯但是能不能得到且不说找个女朋友不出以外就是一辈子一起走的人是那些什么心上人暗恋能够得到的吗也许经过你的努力争取他发现以前自己的幼稚你才是他值得保护的女神那份海枯石烂的爱是多少人一生都无法体会的啊有这个机会千万别轻易放弃千万千万
112,112,烦恼-恋爱,如何形容美女有气质世界上无论哪一个国家的何种语言形容女人的词汇都是一样地丰富多彩温柔贤惠漂亮可爱清纯成熟婀娜优雅娇柔妩媚浪漫热情有风韵有气质有魅力有内涵等等那么什么样的女人是最美丽的呢这原本就是一个仁者见仁智者见智的问题因为有人喜欢骨感有人喜欢丰腴有人喜欢温柔贤惠有人喜欢泼辣能干有人喜欢外表温文尔雅的可人女子古典美人有的则喜欢现代派的野性和狂热抛开容貌体肤不说单就可爱女人的气质情致而论那千种娇媚万般风韵谁又能说得尽呢不可爱的女人都是一样的可爱的女人各有可爱处就好像是有的人欣赏腊梅有些人喜欢茉莉一样的道理但是无论别人是否喜欢所有的花儿也都依旧美丽地在绽放着因此女人的美丽绝没有简单的同一标准美与不美只是一个外在的界定不同的人因为素养及审美意识的不同会有着千差万别的领悟一个真正的女人是不用外表的美与不美来诠释自己的美固然能引人注目但真正令人难忘的女人我却一直认为是具有似水的柔情性格善良的温柔女人温柔的女人最美丽作为女人尽可以潇洒聪慧干练足智多谋女强人但有一点却不能少那就是温柔女人存在的理由就是因为她具备男人所缺乏的温柔温柔这是作为女人不可缺少的一种基本的资质和品性最是那一低头的温柔不胜水莲花似的娇羞道出了女人温柔的婉约美诗经里有句诗很多人都知道窈窕淑女君子好逑在辞典里窈窕形容女子美好外型漂亮淑女的释义是温和善良美好二者连在一起将外在美和内秀结合因此引起了君子好逑美丽的外表加上善解人意的温柔或许这是众多男性心目中的魅力女性有调查显示大多数男人最喜欢女人的一个方面是女人的温柔曾经看到一首温柔的女人的诗钟敲响十二声你很敏感地做出反应让明亮的幻影闪亮在眸子里你显得很可怜温柔的女人我忘不掉去年的雨那样冷灰色的雨幕里你的头发像倒伏的草你的名字也像一种平凡的草弱质的身体在我喜欢的蓝雨衣里颤抖你显得很可怜温柔的女人楚楚的哽咽让我心头有一种好听的声音鸣响我想象自己是厚大的布很惭愧有些粗糙把你裹住不再让你颤抖钟敲响十二声你很敏感地做出反应让声音很小很快乐的笑洒落在我肩头上温柔的女人我显得很可怜我的心让你攫走由此可以从某个侧面看出柔能克刚女人的美貌只能征服男人的眼睛女人的温柔却可以征服男人的心灵让他们不知不觉中心甘情愿地掉进温柔的陷阱里女人的温柔足以能融化男人的心有人说女人的温柔是一种美德一种足以让男性一见钟情忠贞不渝的魅力的确在男人挑剔的眼光中盯着女人的美丽的同时心里还渴求温柔有人认为美丽是最重要的也许有点道理美丽一种足以让男性一见钟情大为倾心的一种魅力在充满浪漫与憧憬的青年时代美丽或许会占上风可当从感性回到理性的认识中来就会明白美丽可爱但也是最为靠不住的在季节的变迁时间的轮回中美丽的外表会失去光泽而优秀的内涵将会永驻这自然形成的女性温柔古往今来给人间带来多少深情挚爱温馨和谐让男人恋恋不忘而我个人认为温柔又是以内涵为底蕴的温柔的女人会拥有诱人的气帧难以抵挡的魅力就算是一个女人有倾国倾城的美貌再加上很多的优点和特长也不能算是一个完美的可爱的女人因为女人即便是有沉鱼落雁之容闭月羞花之貌如果没有内涵丧失了温柔那么就可能会金玉其外败絮其中的而且容貌是女人人生中一个最不长久的伙伴它会在你不知不觉的时候跟着岁月老人去私奔全然不顾你的内心感受而沉淀在心中的内涵会通过温柔把你全部的美丽毫无保留地完全绽放出来这样的美丽绝不会受到岁月的侵蚀因此温柔给人的感觉令人内心赞佩回味无穷就算是我很丑但是我很温柔也会被旁人接受和欣赏好多人认为通过一些方法与手段整形就能达到所想象的韵味和魅力这似乎太表面化了实质的内容并不是如此地简单温柔有时是说不清道不尽的且难以用文字描述其神韵但是温柔却是人人都能感觉到的一个女人站在面前说上几句话甚至不用说话我们就能感觉出这个女人是温柔还是不温柔温柔里面包含着深刻的东西是因为不是可以生硬地表演出来的而是生命本体的一种自然散发温柔可不是娇滴滴嗲声嗲气这里有真假之分娇滴嗲声嗲气是假惺惺是故做姿态而温柔是真性情是骨子里生长出来的本能的东西只有生长于生命内部的那种温柔才能经得起考验历久不衰一直相伴到生命的终结河东狮是古代形容女人很厉害让男人听到就会肝颤全身汗毛倒竖的一种女人中国几千年的文化与传统有很多很多在今天看来是很有意思的东西也有很多是很悲哀的东西在银行上班的时候经常可以听到几个结婚几年的男同事抱怨和老婆恋爱时都蛮温柔可爱现在讲话却粗声大气脾气越来越坏不是唠唠叨叨就是河东狮吼到底是谁逼走了她们的温柔呢对他们动辄吆五喝六难道女人婚前的温柔都是装出来的还是结了婚就不顾自己形象了大街上的女人一个比一个娇美可爱可是你一旦娶回了一个做了自己的老婆没多久你便感觉自己是在受苦受累受难接受她没完没了地的折磨了为了一些小事便像打架的牛发起威来一般这时想到的不再是娇妻女人之类的美好字眼多的却是河东狮吼骂街泼妇之类叫人痛心疾首的词儿其实女人味很简单就是女人所独有而男人所不具备的外在的内在的东西一个感性温柔的女人无论思考语调一举手一投足都更细腻和更具感染力马克思也认为女人的最大魅力是温柔如今女性从几千年受歧视的地位上站起来与男性一分高下可遗憾的是在当今现代社会里不得不承认作为群体女性温柔明显减少这种温柔的减少多少有点不正常在谈到温柔时竟有许多人说都什么时代了还谈什么温柔相信这种回答令许多男士心痛而又无奈应当指出女性在当今社会追求独立人格的同时不应放弃温柔的一面何况温柔与追求独立人格并不矛盾男人需要女人温柔正如女人需要男人阳刚一样这是心理和生理的差异造成的也是男人和女人之间的互补性要求温柔是美德也是一种力量它能像春风一样吹散人们心头的忧愁和烦恼是理解是关怀女人温柔一点无疑是给爱情加点巧克力世上的男子很少不会喜欢女人的温柔也没有谁会愿意长年累月地与蛮野悍泼粗的女性接触共事女性失去了温柔便也就意味着失去了女人的魅力女人最能打动人的就是温柔尽管男人也有温柔的一面但这不同于女人的温柔看一个女人善良不善良就看她是不是温柔人总是以善为本可善良是看不见摸不着的但可以从温柔不温柔来观察如果善良是平静的湖泊温柔就是从这湖上吹来的清风温柔是那枝枝的腊梅和片片的雪花在馨香里诉说着冬季的妩媚温柔着冻僵的人们温柔是一场无风无雷的小雨淋得干枯的心灵舒展如春天的枝叶温柔就像是一只纤纤细手知冷知热知轻知重只轻轻一抚摸受伤的心灵就愈合了昏睡的青春就醒来了痛苦的呻吟就变成甜蜜幸福的鼾声了温柔有一种绵绵的诗意她缓缓地轻轻地放射出来飘到你的身旁扩展弥撒将你围拢包裹熏醉让你感受到一种宽松一种归属一种美温柔是女人特有的武器大多数的男人都愿意被这样的武器击倒正是造物主按照美学的原则赋予女人的最佳韵律使得现代女性能以其独特的风采加之温柔的性情置身于多彩多姿的大千世界并和谐统一地与男人的阳刚之气形成鲜明的对比构成一道靓丽的风景在现代生活中温柔是女人独具的气质是一种使人销魂落魄的品味是一种令异性着迷的魅力是一种微妙的美的韵律风情万种仪态万千是女性性感气质的展现它能激起异性强烈的爱慕思恋追求的欲念女性的美貌和优美的体态固然为男人所倾倒但是随着岁月的流逝女性总会失去往日的风采体态也会变得臃肿或消瘦失去往日的俊美而温柔却是抽象的美感因素能够青春永驻女人的温柔是女人永恒的魅力温柔的女人会拥有诱人的气帧和难以抵挡的魅力或者你用一些诗句来形容北方有佳人绝世而独立一顾倾人城再顾倾人国宁不知倾城与倾国佳人难再得窈窕淑女君子好逑肤如凝脂面如白玉沉鱼落雁羞花闭月手如柔荑肤如凝脂领如蝤蛴齿如瓠犀螓首蛾眉巧笑倩兮美目盼兮美女妖且闲采桑岐路间柔条纷冉冉落叶何翩翩攘袖见素手皎腕约金环头上金爵钗腰佩翠琅玕明珠交玉体珊瑚间木难罗衣何飘飘轻裾随风远顾盼遗光彩长啸气若兰这都是很好的呀希望你能找到合适的答案
137,137,烦恼-交友技巧,男友说对我还需要个月的考察期是什么意思啊我跟男友相处时间你多学学仙剑里的灵儿问题就会解决的
170,170,烦恼-恋爱,他和我都互相喜欢但是他有女友最近他对我的态度是有点怪怪的不被女友知道了告诉女友是你一直缠着他他当然不敢再主动地找你了至于你自己送上门的不要白不要
177,177,烦恼-恋爱,学历不同的爱情女的是大学生男的是初中生但是他们很相爱他们能学历说句你不爱听的你上的什么大学呢现在的大学学历值个什么我有几个亲戚连初中都没毕业说实话会写的字估计都很少了找的都是大学生媳妇都靠他们的工资养活这念头学历不重要重要的是你的寒金量
225,225,烦恼-恋爱,爱一个人需要理由吗爱一个人需要理由吗怎么能分辨出来是真喜爱一个人当然需要理由没有人会平白无故的喜欢某一样的东西的有时候虽然我们一再在强调爱一个人不需要理由只要爱他就好了试问如果没有你理由你又怎么会爱他你爱他的什么你爱他身上的什么这就需要我们给自己一个理由了不知道有多少人有过在爱情迷茫的时候会想自己为什么会爱身边的这个人对于女人来说一个男人如果爱他就必须要给他一个理由即使现在他不跟你要迟早有一点他都会问你为什么爱她如果你连你自己为什么爱他都不知道那你有什么资格爱就好比你爱上一个男人或者是一个女人你就应该明白爱的什么这就是你爱他的理由如果说爱上一个人不需要任何理由那么你要离开他的时候就更不需要理由了如果你真的爱就要对得起自己的良心就应该给自己也给他她一个理由起码我们爱的有目的不论是爱一个人或者是要离开一个人都应该有足够的理由爱的时候我们可以告诉所有人我们是因为不了解才在一起这就是理由离开的时候我们可以告诉所有人我们是因为太了解才分开这也是理由
232,232,烦恼-交友技巧,做生意的人该如何锻炼自己的交流能力我决定以后做生意但是我社交强化训练啦多往人多的地方去先听听人家是怎样说话处世的回来后想一想他们的语言和交流方式有什么值得改进的地方多看一些社交类的图书杂志学一些讲话技巧让自己多元化各方面的知识都了解一点以便和更多的人都有谈资若想做生意可学一点心理学和推销术我在上学的时候几乎连一个朋友都没有现在自己开店不也做了十年其实边做边学也是可以的只要你真的想做好
261,261,烦恼-恋爱,同居是否有罪婚恋范畴中的同居无罪范畴中的同居是过不是错但不能受到过分的道德谴责凡事要有个度婚前性关系的后果有下列七条一婚前性关系容易使男女两人在结婚前分手有些女孩为了怕失去心爱的男孩才勉强献出自己的肉体结果常常适得其反萧特博士说如果她坚持最后一道关防也许更容易把他挂住二许多男人不愿娶一个跟别人发生过性关系的女孩萧特博士说有些男人一直在尽量大的努力减少总人口中处女的人数但是到了结婚的时候他们却不肯要一个旧货三发生婚前性关系的女孩婚姻生活比较不快乐萧特博士说婚前性关系次数越多婚后的生活越不快乐四发生婚前性关系的女孩离婚率较高这是第三项的自然结果婚姻生活不快乐是离婚的重要原因之一五在婚前发生过性行为的女孩婚后容易对丈夫不忠实容易发生婚姻外性关系她们红杏出墙的机会是婚前没有性经验的妻子的两倍六在婚前发生性关系可能会使少女嫁给不合适的人性能够使你盲目某些少女也许相信她已找到真正的爱事实上使她和男友结合在一起的力量是性而不是爱七有婚前性行为的女孩婚后的性生活常常比较不满意结婚对没有性经验的女性婚后性生活显得比较美满理由之一是有婚前性行为的妻子常常会怀念她以前的性经验回忆美化往事她总觉得今天的丈夫比不上她旧日的情人
273,273,烦恼-交友技巧,第一次见男朋友的父母应该注意些什么下个月初我男朋友的父母要过来多少一点交流了心情放平和点自然的才是最美的祝你们相见愉快
274,274,烦恼-夫妻,该不该告诉老公我的朋友有皮肤病她有个男朋友她很爱男朋友但又你好刚看你的标题以为是妻子在感情上背叛过呢连答案都想好了才发现原来是这个原因我不知道是什么皮肤病有多严重会传染或遗传吗如果不严重不是太明显不告诉也没关系的不过如果比较严重先想办法治疗如果治疗的结果是不能根除还是告诉男朋友的好我不敢说如果他爱她就会接受她的一切这样的话但是我觉得男朋友有知道的权利告诉他如果他不介意当然好她也松了一口气而且她也会更爱他如果他介意那还是早结束的好
279,279,烦恼-恋爱,怎么才能顺其自然的把一个不认识的女孩子约出来呢自己制造一次偶然相遇的机会如不小心踩到她的脚然后赔礼道歉等
283,283,烦恼-恋爱,男人需要的最基本的信任是什么我不知道男人是不是希望自己的手机和小妹我是个过来的人让我来谈谈我的看法吧无论男女都有属于自己隐密的空间且都不想被不该看到的人看到如果一个人总想去探知对方的隐密至少缺乏的是尊重这根本谈不上什么信任不信任每个人都愿意把自己隐密的东西到了适当的时候倾述给自己心爱的人那么什么是适当的时候呢当你不计较他的所有的时候当你的态度让他感到不会造成彼此伤害的时候当彼此的所有事情都能坦然面对的时候这人时候就是适当的时候你问问你自己你们做到了吗试想一下谁愿意把自己的所作所为露出来后去伤害彼此呢特别是对一个醋劲十足的女孩或男孩你们缺乏交流缺少沟通或者是彼此太了解明知这些事情会彼此伤害所以他或她不愿意透露自己的内容你说得对彼此是需要信任但更需要尊重如果你自己有些秘密没跟他说但他又在不经你同意的情况下来探知你会怎么想我希望你们彼此尊重对方给人一个自由的空间让他或她随意的畅游重要的是看他或她的行动如果他的行为被世人所不耻那么这种人趁早否则你们会越过越幸福的我的妻子从不看我的及内容我们非常幸福我也非常爱她短信或的内容是可以跟其他人说些甜言蜜语的但你没有必要去计较这根本不重要重要的是他的心和他的行动
314,314,烦恼-恋爱,当你想做爱的时候该怎样才能让男友知道是清楚的说还是条件具备气氛具备双方具备干柴烈火
317,317,烦恼-恋爱,不是处女了但想珍惜眼前的好男人我该怎么办我在大学时候有一个我也相信如果他真的爱你就不会在乎你是不是处女的我也和你一样碰到了这样的问题我和他相处了个多月感觉两个人在一起一直很幸福问题是他已经知道事实他曾经说过很爱我而且是第一次谈恋爱他全身心的投入可是当我告诉他时他却哭了说心里很伤心后来他说很难接受这个事实我心里就更难过了因为我也很爱他因为爱他我不想欺骗他他也问了我几次了每次我都忍不住流眼泪但最终我还是和他说了已经过去两天了他说给他时间考虑一下因为他说这也是要负责任的他真的很伤心我也很难过我深深的伤害了他我真的早知道就先瞒着他了我现在还没有得到他的回答我心里一直在愧疚当我的好友知道后说这应该说因为瞒着他以后让他知道了会更加伤害对方我真的也不知道怎么办我只有等了如果他真的爱我我相信他会再给我一次机会的
332,332,烦恼-恋爱,我和女友半年没见面了她来找我我该准备什么给她你的欣喜和你的激动你的热情和你的思念这应该就是最好的礼物了当然如果你知道她喜欢什么或是最近缺什么的话买给她相信效果会更好
